"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"111,180,51,53,,64,48,,147,,,81,50,,12,171,102,33,88,43,95,7,19,10,16,97,126,113,116,58,57,1,139,44,117,61,56,86,3,7,173,,156,8,118,138,3,,85,,,1,62,,4,93,5,136,5,176,23,108,63,182,,67,,7,177,168,89,30,,165,148,119,153,2,20,42,79,65,13,144,8,106,36,99,137,,8,71,123,14,105,4,46,15,2,68,6,167,76,80,91,160,98,154,155,,129,151,115,130,125,159,,22,84,87,134,128,,,21,3,158,183,4,100,133,181,131,9,132,35,55,127,5,78,2,59,40,54,25,24,28,109,152,92,11,77,114,94,143,1,170,66,6,8,175,178,90,32,107,83,112,146,122,166,,49,38,124,4,2,162,145,110,,6,140,5,82,73,74,101,3,7,75,34,41,135,,157,96,26,52,161,47,69,31,150,149,27,45,70,60,39,37,1,121,18,6,104,72,163,29,172,103,17,120";"";222;"";;;
2;"H1,H2";"MountingHole_5mm";2;"MountingHole";;;
3;"U1";"edge-minipcie";1;"UC EXPANSION";;;
4;"U3,U2";"speaker pads";2;"Speaker";;;
