Ref,Val,Package,PosX,PosY,Rot,Side
"","","",99.646000,-102.667000,-90.000000,bottom
"","","",100.446000,-102.667000,-90.000000,bottom
"","","",108.446000,-102.667000,-90.000000,bottom
"","","",110.046000,-102.667000,-90.000000,bottom
"","","",104.446000,-102.667000,-90.000000,bottom
"","","",104.457000,-114.100000,-90.000000,bottom
"","","",106.046000,-102.667000,-90.000000,bottom
"","","",112.446000,-102.667000,-90.000000,bottom
"","","",102.857000,-114.100000,-90.000000,bottom
"","","",107.646000,-102.667000,-90.000000,bottom
"","","",102.057000,-114.100000,-90.000000,bottom
"","","",99.657000,-114.100000,-90.000000,bottom
"","","",105.246000,-102.667000,-90.000000,bottom
"","","",106.846000,-102.667000,-90.000000,bottom
"","","",110.846000,-102.667000,-90.000000,bottom
"","","",103.646000,-102.667000,-90.000000,bottom
"","","",100.457000,-114.100000,-90.000000,bottom
"","","",101.246000,-102.667000,-90.000000,bottom
"","","",102.846000,-102.667000,-90.000000,bottom
"","","",102.046000,-102.667000,-90.000000,bottom
"","","",98.857000,-114.100000,-90.000000,bottom
"","","",111.646000,-102.667000,-90.000000,bottom
"","","",103.657000,-114.100000,-90.000000,bottom
"","","",109.246000,-102.667000,-90.000000,bottom
"","","",101.257000,-114.100000,-90.000000,bottom
"GPIO45","","",98.846000,-102.667000,-90.000000,bottom
"","","",101.440000,-124.420000,0.000000,top
"","","",95.960000,-124.420000,0.000000,top
"","","",91.850000,-124.420000,0.000000,top
"","","",85.000000,-124.420000,0.000000,top
"","","",106.920000,-123.050000,0.000000,top
"","","",104.180000,-123.050000,0.000000,top
"","","",90.480000,-124.420000,0.000000,top
"","","",102.810000,-124.420000,0.000000,top
"","","",98.700000,-124.420000,0.000000,top
"","","",94.590000,-124.420000,0.000000,top
"","","",89.110000,-124.420000,0.000000,top
"","","",86.370000,-124.420000,0.000000,top
"","","",83.630000,-124.420000,0.000000,top
"","","",112.400000,-123.050000,0.000000,top
"","","",108.290000,-123.050000,0.000000,top
"","","",111.030000,-123.050000,0.000000,top
"","","",105.550000,-123.050000,0.000000,top
"","","",100.070000,-124.420000,0.000000,top
"","","",97.330000,-124.420000,0.000000,top
"","","",93.220000,-124.420000,0.000000,top
"","","",87.740000,-124.420000,0.000000,top
"","","",109.660000,-123.050000,0.000000,top
"","","",101.440000,-123.050000,0.000000,top
"","","",98.700000,-123.050000,0.000000,top
"","","",94.590000,-123.050000,0.000000,top
"","","",93.220000,-123.050000,0.000000,top
"","","",91.850000,-123.050000,0.000000,top
"","","",85.000000,-123.050000,0.000000,top
"","","",102.810000,-121.680000,0.000000,top
"","","",101.440000,-121.680000,0.000000,top
"","","",86.370000,-123.050000,0.000000,top
"","","",112.400000,-121.680000,0.000000,top
"","","",104.180000,-121.680000,0.000000,top
"","","",87.740000,-123.050000,0.000000,top
"","","",106.920000,-121.680000,0.000000,top
"","","",95.960000,-123.050000,0.000000,top
"","","",89.110000,-123.050000,0.000000,top
"","","",111.030000,-121.680000,0.000000,top
"","","",109.660000,-121.680000,0.000000,top
"","","",102.810000,-123.050000,0.000000,top
"","","",100.070000,-123.050000,0.000000,top
"","","",97.330000,-123.050000,0.000000,top
"","","",108.290000,-121.680000,0.000000,top
"","","",83.630000,-123.050000,0.000000,top
"","","",90.480000,-123.050000,0.000000,top
"","","",105.550000,-121.680000,0.000000,top
"","","",109.660000,-125.790000,0.000000,top
"","","",112.400000,-125.790000,0.000000,top
"","","",111.030000,-125.790000,0.000000,top
"","","",98.700000,-121.680000,0.000000,top
"","","",91.850000,-121.680000,0.000000,top
"","","",95.960000,-121.680000,0.000000,top
"","","",94.590000,-121.680000,0.000000,top
"","","",90.480000,-121.680000,0.000000,top
"","","",100.070000,-121.680000,0.000000,top
"","","",97.330000,-121.680000,0.000000,top
"","","",93.220000,-121.680000,0.000000,top
"","","",89.110000,-121.680000,0.000000,top
"","","",87.740000,-121.680000,0.000000,top
"","","",86.370000,-121.680000,0.000000,top
"","","",112.400000,-120.310000,0.000000,top
"","","",111.030000,-120.310000,0.000000,top
"","","",108.290000,-120.310000,0.000000,top
"","","",105.550000,-120.310000,0.000000,top
"","","",90.480000,-120.310000,0.000000,top
"","","",101.440000,-120.310000,0.000000,top
"","","",104.180000,-120.310000,0.000000,top
"","","",97.330000,-120.310000,0.000000,top
"","","",89.110000,-120.310000,0.000000,top
"","","",94.590000,-120.310000,0.000000,top
"","","",109.660000,-120.310000,0.000000,top
"","","",95.960000,-120.310000,0.000000,top
"","","",86.370000,-120.310000,0.000000,top
"","","",91.850000,-120.310000,0.000000,top
"","","",85.000000,-121.680000,0.000000,top
"","","",106.920000,-120.310000,0.000000,top
"","","",100.070000,-120.310000,0.000000,top
"","","",83.630000,-121.680000,0.000000,top
"","","",102.810000,-120.310000,0.000000,top
"","","",93.220000,-120.310000,0.000000,top
"","","",87.740000,-120.310000,0.000000,top
"","","",98.700000,-120.310000,0.000000,top
"","","",108.290000,-118.940000,0.000000,top
"","","",105.550000,-118.940000,0.000000,top
"","","",98.700000,-118.940000,0.000000,top
"","","",83.630000,-120.310000,0.000000,top
"","","",90.480000,-118.940000,0.000000,top
"","","",112.400000,-118.940000,0.000000,top
"","","",111.030000,-118.940000,0.000000,top
"","","",109.660000,-118.940000,0.000000,top
"","","",104.180000,-118.940000,0.000000,top
"","","",101.440000,-118.940000,0.000000,top
"","","",94.590000,-118.940000,0.000000,top
"","","",93.220000,-118.940000,0.000000,top
"","","",87.740000,-118.940000,0.000000,top
"","","",89.110000,-118.940000,0.000000,top
"","","",106.920000,-118.940000,0.000000,top
"","","",97.330000,-118.940000,0.000000,top
"","","",85.000000,-120.310000,0.000000,top
"","","",100.070000,-118.940000,0.000000,top
"","","",91.850000,-118.940000,0.000000,top
"","","",102.810000,-118.940000,0.000000,top
"","","",95.960000,-118.940000,0.000000,top
"","","",85.000000,-118.940000,0.000000,top
"","","",100.070000,-117.570000,0.000000,top
"","","",83.630000,-118.940000,0.000000,top
"","","",109.660000,-117.570000,0.000000,top
"","","",105.550000,-117.570000,0.000000,top
"","","",101.440000,-117.570000,0.000000,top
"","","",97.330000,-117.570000,0.000000,top
"","","",112.400000,-117.570000,0.000000,top
"","","",111.030000,-117.570000,0.000000,top
"","","",108.290000,-117.570000,0.000000,top
"","","",106.920000,-117.570000,0.000000,top
"","","",104.180000,-117.570000,0.000000,top
"","","",95.960000,-117.570000,0.000000,top
"","","",102.810000,-117.570000,0.000000,top
"","","",94.590000,-117.570000,0.000000,top
"","","",98.700000,-117.570000,0.000000,top
"","","",93.220000,-117.570000,0.000000,top
"","","",86.370000,-118.940000,0.000000,top
"","","",97.330000,-116.200000,0.000000,top
"","","",91.850000,-116.200000,0.000000,top
"","","",94.590000,-116.200000,0.000000,top
"","","",86.370000,-116.200000,0.000000,top
"","","",93.220000,-116.200000,0.000000,top
"","","",89.110000,-116.200000,0.000000,top
"","","",108.290000,-116.200000,0.000000,top
"","","",106.920000,-116.200000,0.000000,top
"","","",90.480000,-116.200000,0.000000,top
"","","",100.070000,-116.200000,0.000000,top
"","","",111.030000,-116.200000,0.000000,top
"","","",105.550000,-116.200000,0.000000,top
"","","",104.180000,-116.200000,0.000000,top
"","","",101.440000,-116.200000,0.000000,top
"","","",87.740000,-116.200000,0.000000,top
"","","",109.660000,-116.200000,0.000000,top
"","","",102.810000,-116.200000,0.000000,top
"","","",98.700000,-116.200000,0.000000,top
"","","",95.960000,-116.200000,0.000000,top
"","","",85.000000,-116.200000,0.000000,top
"","","",91.850000,-117.570000,0.000000,top
"","","",90.480000,-117.570000,0.000000,top
"","","",89.110000,-117.570000,0.000000,top
"","","",87.740000,-117.570000,0.000000,top
"","","",86.370000,-117.570000,0.000000,top
"","","",83.630000,-117.570000,0.000000,top
"","","",85.000000,-117.570000,0.000000,top
"","","",112.400000,-116.200000,0.000000,top
"","","",95.930000,-114.810000,0.000000,top
"","","",94.560000,-114.810000,0.000000,top
"","","",93.190000,-114.810000,0.000000,top
"","","",91.820000,-114.810000,0.000000,top
"","","",90.450000,-114.810000,0.000000,top
"","","",89.080000,-114.810000,0.000000,top
"","","",87.710000,-114.810000,0.000000,top
